item_id,channel,recommended_warehouse,horizon,forecast_days,total_forecasted_demand,safety_stock,reorder_point,economic_order_quantity (EOQ)
A0008,App,central_online_wh,1-Month,30,0.0,0,0,10
A0008,App,central_online_wh,3-Month,90,0.0,0,0,10
A0008,App,central_online_wh,6-Month,183,0.0,0,0,10
A0008,Offline,central_offline_wh,1-Month,30,23.0,14,45,61
A0008,Offline,central_offline_wh,3-Month,90,65.0,13,42,59
A0008,Offline,central_offline_wh,6-Month,183,133.0,14,43,59
A0008,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0008,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0008,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0009,App,central_online_wh,1-Month,30,8.0,6,16,36
A0009,App,central_online_wh,3-Month,90,26.0,6,17,37
A0009,App,central_online_wh,6-Month,183,52.0,6,17,37
A0009,Offline,central_offline_wh,1-Month,30,9.0,4,16,38
A0009,Offline,central_offline_wh,3-Month,90,26.0,4,15,37
A0009,Offline,central_offline_wh,6-Month,183,52.0,4,15,37
A0009,Web,central_online_wh,1-Month,30,12.0,6,22,44
A0009,Web,central_online_wh,3-Month,90,39.0,6,23,46
A0009,Web,central_online_wh,6-Month,183,78.0,6,23,46
A0013,App,central_online_wh,1-Month,30,0.0,0,0,10
A0013,App,central_online_wh,3-Month,90,0.0,0,0,10
A0013,App,central_online_wh,6-Month,183,0.0,0,0,10
A0013,Offline,central_offline_wh,1-Month,30,5.0,3,10,28
A0013,Offline,central_offline_wh,3-Month,90,13.0,3,9,27
A0013,Offline,central_offline_wh,6-Month,183,26.0,3,9,26
A0013,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0013,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0013,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0015,App,central_online_wh,1-Month,30,8.0,6,16,36
A0015,App,central_online_wh,3-Month,90,26.0,6,17,37
A0015,App,central_online_wh,6-Month,183,52.0,6,17,37
A0015,Offline,central_offline_wh,1-Month,30,37.0,12,61,77
A0015,Offline,central_offline_wh,3-Month,90,117.0,12,64,80
A0015,Offline,central_offline_wh,6-Month,183,234.0,12,63,79
A0015,Web,central_online_wh,1-Month,30,8.0,6,16,36
A0015,Web,central_online_wh,3-Month,90,26.0,6,17,37
A0015,Web,central_online_wh,6-Month,183,52.0,6,17,37
A0019,App,central_online_wh,1-Month,30,26.0,12,46,65
A0019,App,central_online_wh,3-Month,90,78.0,12,47,65
A0019,App,central_online_wh,6-Month,183,158.0,12,46,65
A0019,Offline,central_offline_wh,1-Month,30,0.0,0,0,10
A0019,Offline,central_offline_wh,3-Month,90,0.0,0,0,10
A0019,Offline,central_offline_wh,6-Month,183,0.0,0,0,10
A0019,Web,central_online_wh,1-Month,30,45.0,12,72,85
A0019,Web,central_online_wh,3-Month,90,130.0,12,70,84
A0019,Web,central_online_wh,6-Month,183,263.0,12,70,84
A0021,App,central_online_wh,1-Month,30,4.0,4,9,25
A0021,App,central_online_wh,3-Month,90,13.0,4,9,27
A0021,App,central_online_wh,6-Month,183,26.0,4,9,26
A0021,Offline,central_offline_wh,1-Month,30,8.0,5,15,36
A0021,Offline,central_offline_wh,3-Month,90,26.0,5,16,37
A0021,Offline,central_offline_wh,6-Month,183,52.0,5,16,37
A0021,Web,central_online_wh,1-Month,30,4.0,4,9,25
A0021,Web,central_online_wh,3-Month,90,13.0,4,9,27
A0021,Web,central_online_wh,6-Month,183,26.0,4,9,26
A0023,App,central_online_wh,1-Month,30,0.0,0,0,10
A0023,App,central_online_wh,3-Month,90,0.0,0,0,10
A0023,App,central_online_wh,6-Month,183,0.0,0,0,10
A0023,Offline,central_offline_wh,1-Month,30,0.0,0,0,10
A0023,Offline,central_offline_wh,3-Month,90,0.0,0,0,10
A0023,Offline,central_offline_wh,6-Month,183,0.0,0,0,10
A0023,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0023,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0023,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0028,App,central_online_wh,1-Month,30,0.0,0,0,10
A0028,App,central_online_wh,3-Month,90,0.0,0,0,10
A0028,App,central_online_wh,6-Month,183,0.0,0,0,10
A0028,Offline,central_offline_wh,1-Month,30,45.0,14,74,85
A0028,Offline,central_offline_wh,3-Month,90,130.0,14,71,84
A0028,Offline,central_offline_wh,6-Month,183,262.0,14,71,83
A0028,Web,central_online_wh,1-Month,30,4.0,4,10,25
A0028,Web,central_online_wh,3-Month,90,13.0,5,10,27
A0028,Web,central_online_wh,6-Month,183,26.0,5,10,26
A0037,App,central_online_wh,1-Month,30,0.0,0,0,10
A0037,App,central_online_wh,3-Month,90,0.0,0,0,10
A0037,App,central_online_wh,6-Month,183,0.0,0,0,10
A0037,Offline,central_offline_wh,1-Month,30,25.0,12,45,64
A0037,Offline,central_offline_wh,3-Month,90,78.0,12,46,65
A0037,Offline,central_offline_wh,6-Month,183,157.0,12,46,65
A0037,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0037,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0037,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0040,App,central_online_wh,1-Month,30,72.0,34,130,108
A0040,App,central_online_wh,3-Month,90,208.0,34,126,106
A0040,App,central_online_wh,6-Month,183,421.0,34,126,106
A0040,Offline,central_offline_wh,1-Month,30,59.0,22,101,98
A0040,Offline,central_offline_wh,3-Month,90,169.0,21,97,96
A0040,Offline,central_offline_wh,6-Month,183,340.0,21,96,95
A0040,Web,central_online_wh,1-Month,30,140.0,62,249,151
A0040,Web,central_online_wh,3-Month,90,416.0,63,248,150
A0040,Web,central_online_wh,6-Month,183,838.0,63,246,149
A0043,App,central_online_wh,1-Month,30,0.0,0,0,10
A0043,App,central_online_wh,3-Month,90,0.0,0,0,10
A0043,App,central_online_wh,6-Month,183,0.0,0,0,10
A0043,Offline,central_offline_wh,1-Month,30,88.0,49,166,119
A0043,Offline,central_offline_wh,3-Month,90,260.0,49,164,119
A0043,Offline,central_offline_wh,6-Month,183,520.0,48,162,118
A0043,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0043,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0043,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0044,App,central_online_wh,1-Month,30,0.0,0,0,10
A0044,App,central_online_wh,3-Month,90,0.0,0,0,10
A0044,App,central_online_wh,6-Month,183,0.0,0,0,10
